rank,molport_number,smiles,combined_score,boltz_prob_mean,boltz_pred_value_mean,passes_confidence,mw,heavy_atoms,num_atoms,logp,hbd,hba,rotatable_bonds,pains
15,MolPort-001-739-244,CCCCCCCCCCC1C(=O)OC(C(O)=O)C1(O)C(O)=O,999.0,0.4030332863330841,-0.3284497261047363,False,330.37700000000007,23,23,1.9591,3,5,11,False
16,MolPort-001-739-792,CC(O)\C=C\C1OC(=O)CC1Nc1ccc(C=O)cc1,999.0,0.5141910910606384,0.9419767260551452,False,275.304,20,20,1.5321,2,5,5,False
17,MolPort-001-742-275,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,999.0,0.49866783618927,0.8550858696301779,False,610.5210000000004,43,43,-2.420300000000001,10,16,7,False
18,MolPort-001-742-474,COc1ccc2c(c1)oc(-c1ccccc1)c(O)c2=O,999.0,0.5458313127358755,0.5707813302675883,False,268.26800000000003,20,20,3.174200000000002,1,4,2,False
19,MolPort-001-742-556,CC1(C)[C@@H]2CC[C@]3(C2)[C@H](CC[C@@H]3C1=C)C(O)=O,999.0,0.1892495155334472,1.7728554805119832,False,234.339,17,17,3.479700000000002,1,1,1,False
20,MolPort-001-742-637,CC(=O)OC\C=C(/C)C(=O)OC1CC2(C)OC(=CC2=O)\C(C)=C\C2OC(=O)C(=C)C12,999.0,0.4211240112781524,0.7336162527402242,False,416.4260000000002,30,30,2.0973,0,8,4,False
21,MolPort-002-506-906,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,999.0,0.0906140878796577,0.3602639138698578,False,316.48500000000007,23,23,4.515300000000004,1,2,1,False
22,MolPort-002-507-209,C[C@H]1CC[C@H]2[C@H](C)[C@H]3CC[C@]4(O)[C@@H](C[C@H]5[C@H]4C[C@H](O)[C@H]4C[C@H](O)CC[C@]54C)[C@@H]3CN2C1,999.0,0.0864077483614285,1.2859702507654829,False,431.6610000000002,31,31,3.6781000000000015,3,4,0,False
23,MolPort-002-523-502,CN1CCc2c(C1)[nH]c1ccccc21,999.0,0.4446920057137807,0.557741105556488,False,186.258,14,14,2.1558,1,1,0,True
24,MolPort-002-524-038,C[C@H]1[C@H]2[C@H](CC3[C@@H]4CC[C@H]5C[C@@H](CC[C@]5(C)C4CC(=O)[C@]23C)OC(C)=O)O[C@]11CC[C@@H](C)CO1,999.0,0.118519422908624,1.1787549058596294,False,472.6660000000004,34,34,5.543600000000006,0,5,1,False
25,MolPort-002-526-599,CO[C@H]1C[C@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)O[C@H](C)[C@H]1O,999.0,0.2260407507419586,0.9702033003171284,False,548.6730000000005,39,39,2.4333000000000005,3,9,5,False
26,MolPort-002-528-529,C[C@]12CC[C@H]3[C@@H](CC[C@]4(O)C[C@H](CC[C@]34C=O)OC3OCC(O)C(O)C3O)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1,999.0,0.2480790664752324,0.4620255529880523,False,536.6180000000002,38,38,0.3615000000000004,5,10,4,False
27,MolPort-002-531-631,O=C1CC2=C[C@H](NCCc3c[nH]c4ccccc34)[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,999.0,0.0500110015273094,1.2133240302403767,False,377.4880000000003,28,28,2.921100000000001,2,4,4,False
28,MolPort-001-740-814,C[C@]12CC[C@@H](O)C(=C)C1C[C@@H](CC2)C(=C)C(O)=O,999.0,0.1752715110778808,1.672051151593526,False,250.338,18,18,2.760700000000001,2,2,2,False
29,MolPort-001-741-019,CC(=C)[C@@H]1CC[C@@]2(CC[C@]3(C)C(CCC4[C@@]5(C)[C@H]([C@H](O)C(C)(C)C5CC[C@@]34C)C(O)=O)C12)C(O)=O,999.0,0.1602815041939417,1.0845475594202678,False,486.6930000000003,35,35,6.010100000000005,3,3,3,False
30,MolPort-001-741-100,OC1COC(OCC2OC(Oc3cc(O)cc4oc(=O)cc(-c5ccc(O)c(O)c5)c34)C(O)C(O)C2O)C(O)C1O,999.0,0.559423973162969,0.5574817657470703,False,580.4950000000003,41,41,-1.7812000000000012,9,15,6,True
31,MolPort-001-741-103,COc1cc(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c2c(cc(=O)oc2c1)-c1ccc(O)c(O)c1,999.0,0.4658454656600952,0.0960624516010284,False,594.5220000000003,42,42,-1.4765999999999986,8,15,8,True
32,MolPort-000-881-260,OC(=O)c1cc(O)c(O)c(O)c1,999.0,0.5775351325670878,1.1636240482330322,False,170.11999999999998,12,12,0.5015999999999998,4,4,1,True
33,MolPort-003-938-764,[Cl-].COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,999.0,,,False,528.8940000000002,36,36,-2.3024,7,11,6,False
34,MolPort-003-933-186,CCCCCCCC\C=C/CCCCCCCCCC(O)=O,999.0,0.418146014213562,0.6216319998105367,False,310.522,22,22,6.888700000000007,1,1,17,False
35,MolPort-003-926-266,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCc3ccccc3)ncnc12,999.0,0.2513607690731684,0.9149067600568136,False,357.37000000000006,26,26,0.0498999999999989,4,8,5,False
36,MolPort-002-534-834,CC(C)(O)CC[C@@H](O)[C@](C)(O)C1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@]12C,999.0,0.0844994932413101,0.3326566865046819,False,464.6430000000004,33,33,2.8832000000000013,5,6,5,False
37,MolPort-002-534-172,NC(CSCc1ccccc1)C(O)=O,999.0,0.3929067353407542,1.037614345550537,False,211.286,14,14,1.3317,2,3,5,False
38,MolPort-003-939-085,[Cl-].COc1cc(cc(OC)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,999.0,,,False,528.8940000000002,36,36,-2.3024,7,11,6,False
39,MolPort-005-909-607,CC1(C)CCC23CC[C@]4(C)C(CCC5[C@@]6(C)CCC(O)C(C)(C)C6CC[C@@]45C)C2C1OC3=O,999.0,0.1945207864046096,0.9770953059196472,False,456.7110000000002,33,33,6.764200000000008,1,3,0,False
40,MolPort-004-964-394,O[C@H]1CC(=O)c2c(O)ccc3-c4ccc(O)c5C(=O)CC[C@@](O)([C@H]1c23)c45,999.0,0.4937565823396047,1.5116579333941145,False,352.34200000000016,26,26,1.9734,4,6,0,False
41,MolPort-005-945-255,CC(C)(O)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,999.0,0.085085242986679,0.4691313405831654,False,516.6750000000004,37,37,2.9285000000000005,4,7,4,False
42,MolPort-005-945-283,CC(=O)OC\C(CC[C@@H]1C(C=O)=CC[C@@H]2C(C)(C)CCC[C@@]12C)=C\C(O)=O,999.0,0.1826889465252558,0.7282867530981699,False,376.4930000000002,27,27,4.318500000000004,1,4,7,False
