molecule_chembl_id,activity_value_nm,activity_type,relation,smiles,heavy_atoms
CHEMBL318839,10.0,Ki,=,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1cc(C(F)(F)F)c(S(N)(=O)=O)cc1S(N)(=O)=O.[O-][Cl+3]([O-])([O-])[O-],41
CHEMBL170592,10.0,Ki,=,Cc1cc(C)[n+](CCc2ccc(S(N)(=O)=O)cc2)c(C)c1C.[O-][Cl+3]([O-])([O-])[O-],27
CHEMBL318969,10.0,Ki,=,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1ccc(S(N)(=O)=O)cc1Cl.[O-][Cl+3]([O-])([O-])[O-],34
CHEMBL356059,10.0,Ki,=,NS(=O)(=O)c1ccc(N/C(S)=N/C(CCC(=O)O)C(=O)O)cc1,23
CHEMBL85910,10.0,IC50,=,Nc1ccc2cc(S(N)(=O)=O)sc2c1,14
CHEMBL311440,10.0,IC50,=,NS(=O)(=O)c1nc2ccc(OC(=O)Cc3ccc(Cl)cc3)cc2s1,24
CHEMBL284617,10.0,Ki,=,NS(=O)(=O)c1cc(S(N)(=O)=O)c(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)c(Cl)c1Cl,43
CHEMBL319030,10.0,Ki,=,Cc1cc(C)[n+](CC(=O)Nc2nnc(S(N)(=O)=O)s2)c(C)c1.[O-][Cl+3]([O-])([O-])[O-],27
CHEMBL2333416,10.0,IC50,=,NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F,18
CHEMBL287316,10.0,Ki,=,NS(=O)(=O)c1ccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2ccc(S(N)(=O)=O)cc2Br)CC(=O)O)CC(=O)O)c(Br)c1,49
CHEMBL120775,10.0,Ki,=,NS(=O)(=O)NS(=O)(=O)c1cccc(C(=O)O)c1,17
CHEMBL3143261,10.0,Ki,=,NS(=O)(=O)c1ccc(NC(=S)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)cc1,46
CHEMBL1098206,10.1,IC50,=,NS(=O)(=O)c1ccc(SCc2ccccc2)c(C(=O)NCc2ccccc2)c1,28
CHEMBL1387347,10.58,IC50,=,NS(=O)(=O)c1cc(C(=O)NCCOc2ccccc2)c(Cl)cc1Cl,24
CHEMBL1099137,10.6,IC50,=,COCCCNC(=O)c1cc(S(N)(=O)=O)cnc1Sc1c(F)c(F)cc(F)c1F,29
CHEMBL3786719,10.84,IC50,=,CN(C)S(=O)(=O)NC1CCc2ccc(O)cc2C1,18
CHEMBL421940,11.0,Ki,=,NS(=O)(=O)c1ccc(N/C(S)=N\CCC(=O)O)cc1,19
CHEMBL103825,11.0,Ki,=,Cc1cc(-c2ccccc2)cc(C)[n+]1CC(=O)Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1.[O-][Cl+3]([O-])([O-])[O-],40
CHEMBL554875,11.0,IC50,=,CN1CCN(Cc2ccc(S(=O)(=O)c3csc(S(N)(=O)=O)c3)cc2)CC1.Cl,27
CHEMBL317694,11.0,IC50,=,COCCNCc1cc2cc(S(N)(=O)=O)oc2s1,18
CHEMBL165878,11.0,Ki,=,COc1ccc(NS(N)(=O)=O)cc1,13
CHEMBL53407,11.0,Ki,=,NS(=O)(=O)c1cc(C(=O)Nc2nnc(S)s2)ccc1Cl,20
CHEMBL344889,11.0,Ki,=,NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,48
CHEMBL315221,11.0,IC50,=,NS(=O)(=O)c1cc2cccc(O)c2s1,14
CHEMBL316757,11.0,IC50,=,NS(=O)(=O)c1cc2cc(CNCCCCO)sc2o1,19
CHEMBL2113370,11.0,Ki,=,C[C@H](CCC(=O)/N=c1\sc(S(N)(=O)=O)nn1C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,38
